size,direction,distance,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,mouse_target.x,mouse_target.y,mouse_target.leftButton,mouse_target.midButton,mouse_target.rightButton,mouse_target.time,mouse_target.clicked_name,session,participant,date,expName,frameRate,
200,45,500,1,36,136,89,0.0525,-0.13111111111111112,1,0,0,0.7482840999728069,target,001,part2,2018_Dec_24_1848,fitts,60.02775682248813,
200,45,300,1,37,137,49,-0.11625,0.18,1,0,0,0.7152796000009403,target,001,part2,2018_Dec_24_1848,fitts,60.02775682248813,
100,15,100,1,38,138,0,-0.26125,0.6422222222222222,1,0,0,0.5486507000168785,target,001,part2,2018_Dec_24_1848,fitts,60.02775682248813,
200,30,300,1,39,139,45,-0.08875,0.3333333333333333,1,0,0,0.6652074999874458,target,001,part2,2018_Dec_24_1848,fitts,60.02775682248813,
300,75,100,1,40,140,18,-0.3325,0.4577777777777778,1,0,0,0.4486793999094516,target,001,part2,2018_Dec_24_1848,fitts,60.02775682248813,
400,30,400,1,41,141,67,0.0675,0.21777777777777776,1,0,0,0.5809724999126047,target,001,part2,2018_Dec_24_1848,fitts,60.02775682248813,
400,75,100,1,42,142,19,-0.32875,0.43777777777777777,1,0,0,0.3645374000770971,target,001,part2,2018_Dec_24_1848,fitts,60.02775682248813,
300,45,500,1,43,143,90,0.0775,-0.08222222222222222,1,0,0,0.565081899985671,target,001,part2,2018_Dec_24_1848,fitts,60.02775682248813,
300,75,300,1,44,144,58,-0.2775,0.2288888888888889,1,0,0,0.4824567000614479,target,001,part2,2018_Dec_24_1848,fitts,60.02775682248813,
400,45,500,1,45,145,91,0.0225,-0.03111111111111111,1,0,0,0.5816793999401852,target,001,part2,2018_Dec_24_1848,fitts,60.02775682248813,
200,75,300,1,46,146,57,-0.28125,0.07111111111111111,1,0,0,0.6483296001097187,target,001,part2,2018_Dec_24_1848,fitts,60.02775682248813,
400,60,400,1,47,147,75,-0.17125,-0.08888888888888889,1,0,0,0.5484725999413058,target,001,part2,2018_Dec_24_1848,fitts,60.02775682248813,
100,60,400,1,48,148,72,-0.12875,-0.08888888888888889,1,0,0,0.764740000013262,target,001,part2,2018_Dec_24_1848,fitts,60.02775682248813,
100,60,500,1,49,149,92,-0.05,-0.27111111111111114,1,0,0,0.7322450999636203,target,001,part2,2018_Dec_24_1848,fitts,60.02775682248813,
300,30,500,1,50,150,86,0.18375,0.07333333333333333,1,0,0,0.5165599000174552,target,001,part2,2018_Dec_24_1848,fitts,60.02775682248813,
400,30,200,1,51,151,27,-0.125,0.4688888888888889,1,0,0,0.3984428000403568,target,001,part2,2018_Dec_24_1848,fitts,60.02775682248813,
